PERMNO,date,TICKER,COMNAM,RET
18163,19791130,PG,PROCTER & GAMBLE CO,-0.003367
18163,19791231,PG,PROCTER & GAMBLE CO,0.003378
18163,19800131,PG,PROCTER & GAMBLE CO,-0.017172
18163,19800229,PG,PROCTER & GAMBLE CO,-0.012132
18163,19800331,PG,PROCTER & GAMBLE CO,-0.049123
18163,19800430,PG,PROCTER & GAMBLE CO,0.067897
18163,19800530,PG,PROCTER & GAMBLE CO,0.089161
18163,19800630,PG,PROCTER & GAMBLE CO,-0.052970
18163,19800731,PG,PROCTER & GAMBLE CO,0.104407
18163,19800829,PG,PROCTER & GAMBLE CO,-0.024845
18163,19800930,PG,PROCTER & GAMBLE CO,-0.089172
18163,19801031,PG,PROCTER & GAMBLE CO,-0.040909
18163,19801128,PG,PROCTER & GAMBLE CO,0.040665
18163,19801231,PG,PROCTER & GAMBLE CO,-0.021314
18163,19810130,PG,PROCTER & GAMBLE CO,-0.013430
18163,19810227,PG,PROCTER & GAMBLE CO,0.065299
18163,19810331,PG,PROCTER & GAMBLE CO,-0.012259
18163,19810430,PG,PROCTER & GAMBLE CO,0.031206
18163,19810529,PG,PROCTER & GAMBLE CO,-0.017422
18163,19810630,PG,PROCTER & GAMBLE CO,0.074468
18163,19810731,PG,PROCTER & GAMBLE CO,-0.028713
18163,19810831,PG,PROCTER & GAMBLE CO,-0.044750
18163,19810930,PG,PROCTER & GAMBLE CO,0.063063
18163,19811030,PG,PROCTER & GAMBLE CO,0.075254
18163,19811130,PG,PROCTER & GAMBLE CO,0.025559
18163,19811231,PG,PROCTER & GAMBLE CO,0.001558
18163,19820129,PG,PROCTER & GAMBLE CO,0.073717
18163,19820226,PG,PROCTER & GAMBLE CO,-0.023460
18163,19820331,PG,PROCTER & GAMBLE CO,-0.006006
18163,19820430,PG,PROCTER & GAMBLE CO,0.047432
18163,19820528,PG,PROCTER & GAMBLE CO,-0.020438
18163,19820630,PG,PROCTER & GAMBLE CO,-0.010432
18163,19820730,PG,PROCTER & GAMBLE CO,0.038253
18163,19820831,PG,PROCTER & GAMBLE CO,0.117474
18163,19820930,PG,PROCTER & GAMBLE CO,0.030223
18163,19821029,PG,PROCTER & GAMBLE CO,0.093622
18163,19821130,PG,PROCTER & GAMBLE CO,0.120141
18163,19821231,PG,PROCTER & GAMBLE CO,-0.005258
18163,19830131,PG,PROCTER & GAMBLE CO,-0.038478
18163,19830228,PG,PROCTER & GAMBLE CO,0.015556
18163,19830331,PG,PROCTER & GAMBLE CO,0.063457
18163,19830429,PG,PROCTER & GAMBLE CO,-0.000412
18163,19830531,PG,PROCTER & GAMBLE CO,-0.103950
18163,19830630,PG,PROCTER & GAMBLE CO,0.023202
